,Ticker,Price,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Gross Profit,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash Per Share,Current Ratio,Book Value Per Share,Cash Flow,Beta,Class
30,aa,8.57,0.672,3.86,0.22,0.43,5.91,9.12,4.32,11.25,36.138,11.412999999999998,0.31,0.54,4.001,6500000000.0,2.11,51.7,2.1,1.038,1.316,18.754999,1270000000.0,2.1,4
31,aa,9.0128,0.672,4.9,0.28,0.55,5.91,9.12,4.32,11.25,36.138,11.412999999999998,0.33,0.6,4.445,6500000000.0,2.11,51.7,2.1,1.038,1.316,18.754999,1270000000.0,2.1,4
32,aa,5.0803,22.60390322580645,22.716551724137933,0.16,0.36,0.28,7.73,3.39,1.65,33.211,11.412999999999998,1.208709677419355,0.53,4.308,4730000000.0,0.093,73.66,21.1,0.95,1.12,14.594,1230000000.0,2.18,0
33,aa,12.3405,48.26,13.78,0.57,0.85,4.04,8.2,3.05,6.55,22.58,8.6,0.28,0.89,6.18,3840000000.0,0.87,136.8,27.0,1.19,1.36,14.66,20950000000.0,2.28,2
34,aa,10.3448,50.93,11.23,0.45,0.74,4.31,8.64,3.41,7.22,23.44,10.39,0.34,0.78,5.29,3840000000.0,0.95,182.0,21.4,1.25,1.36,13.97,19100000000.0,2.01,2
35,aa,10.3448,50.93,11.47,0.47,0.78,4.31,8.64,3.41,7.22,23.44,10.61,0.34,0.8,5.45,3840000000.0,0.95,182.0,21.4,1.25,1.36,13.97,19660000000.0,2.01,2
36,aa,17.716235483870975,50.93,9.08,0.37,0.62,4.31,8.64,3.41,7.22,23.44,9.83,0.47,0.7,4.78,3840000000.0,0.95,182.0,21.4,1.25,1.36,13.97,2420000000.0,2.1,0
37,aa,9.5122,54.5,17.76,0.41,0.74,2.45,7.16,2.81,4.71,23.52,10.18,0.91,0.72,5.48,4470000000.0,0.55,73.66,6.0,1.82,1.28,12.96,2190000000.0,2.06,4
38,aa,10.2782,54.5,19.16,0.44,0.8,2.45,7.16,2.81,4.71,23.52,10.98,1.07,0.75,5.73,4470000000.0,0.55,73.66,6.0,1.82,1.28,12.96,2190000000.0,2.06,4
39,aa,8.2594,55.28,23.1,0.36,0.64,1.59,5.79,2.23,3.0,23.48,8.6,1.16,0.68,5.8,4470000000.0,0.37,69.5,0.8,1.65,1.25,13.21,2190000000.0,1.96,4
40,aa,7.9676,56.42,126.12,0.36,0.64,0.3,3.85,1.45,0.77,22.89,11.42,2.51,0.69,7.0,4470000000.0,0.07,73.66,9.4,1.61,1.26,12.75,1930000000.0,1.99,0
41,aa,8.1121,56.51,22.716551724137933,0.37,0.66,1.02,2.08,0.77,1.48,22.33,12.21,2.79,0.72,8.68,4470000000.0,0.23,73.66,9.1,1.34,1.19,12.66,1710000000.0,1.96,0
42,aa,9.0134,53.49,51.23,0.41,0.73,0.81,2.36,0.87,0.96,22.22,10.66,1.43,0.7,8.22,4470000000.0,0.18,73.66,1.5,1.74,1.3,12.3,1500000000.0,1.98,0
43,aa,7.982,53.21,36.21,0.37,0.65,1.05,3.06,1.11,1.36,22.03,10.4,2.6,0.68,7.39,3210000000.0,0.22,58.5,2.9,1.45,1.2,12.5,1660000000.0,1.86,0
44,aa,8.1294,53.21,36.92,0.38,0.67,1.05,3.06,1.11,1.36,22.03,10.88,2.87,0.7,7.55,3210000000.0,0.22,58.5,2.9,1.45,1.2,12.5,1660000000.0,1.86,0
45,aa,7.7331,52.71,64.71,0.36,0.65,0.55,3.31,1.24,0.64,21.91,15.4,2.6,0.68,7.1,3210000000.0,0.12,73.66,1.9,1.13,1.18,11.93,1640000000.0,1.89,0
46,aapl,1.9209,2.921,63.7,1.49,2.33,2.36,2.31,2.54,3.95,19.326,37.08,2.89,0.85,21.08,1710000000.0,0.454,6.2,8.1,12.09,2.921,12.042,361000000.0,1.701,0
47,aapl,2.132,2.917,54.4,1.51,2.38,2.76,3.0,3.09,4.78,20.197,34.43,2.65,0.86,17.9,1710000000.0,0.557,6.2,8.1,12.8,2.917,12.493,361000000.0,1.744,0
48,aapl,2.5899,2.917,69.28,1.98,3.13,2.76,3.0,3.09,4.78,20.197,41.05,3.38,1.33,27.68,1710000000.0,0.557,6.2,8.1,12.8,2.917,12.493,564000000.0,1.802,0
49,aapl,4.8869,2.581,57.83,2.99,5.03,5.2,6.71,6.62,10.37,24.517,30.35,1.71,2.33,34.66,2260000000.0,1.244,300.0,33.4,15.94,2.581,14.312,934000000.0,1.81,0
50,aapl,5.3326,2.581,62.55,3.3,5.56,5.2,6.71,6.62,10.37,24.517,32.83,1.92,2.67,32.09,2260000000.0,1.24,300.0,33.4,15.78,2.581,14.312,934000000.0,1.81,0
51,aapl,6.0198,2.581,72.01,1.86,3.11,5.2,6.71,6.63,10.37,12.259,18.24,2.06,3.09,37.16,2260000000.0,0.62,300.0,33.4,7.89,2.581,14.312,1490000000.0,1.8,0
52,aapl,9.7413,2.956,45.64,4.37,8.07,9.58,11.84,10.52,21.29,17.232,19.508400000000005,1.77,3.71,28.249,4040000000.0,1.56,305.7,56.5,9.802,2.956,8.941,2540000000.0,1.5467435897435893,0
53,aapl,11.5391,3.1985,30.74,3.55,6.53,11.74,14.63,11.85,24.77,24.308,19.508400000000005,1.32,2.96,17.819,5600000000.0,2.76,77.7,23.8,13.771,2.271,13.052,3750000000.0,2.4,4
54,aapl,32.209238461538455,3.1985,30.74,3.55,6.53,11.74,14.63,11.85,24.77,24.308,19.508400000000005,1.31,2.96,17.819,5600000000.0,2.76,77.7,23.8,13.771,2.271,13.052,3750000000.0,2.4,4
55,abt,36.5125,0.543,21.75,3.4,5.22,15.73,19.08,11.53,24.56,12.54,17.1,1.57,3.63,13.98,10210000000.0,1.973,1.4,11.3,1.55,1.378,8.216,4480000000.0,0.259,4
